Addr,Score
"
서울 동작구 노량진로16길 35
(지번) 노량진동 119-4
",2.9
"
서울 동작구 장승배기로 121-2
(지번) 노량진동 308-24
",4.0
"
서울 동작구 상도로62길 29 1층
(지번) 상도동 492-19
",4.0
"
서울 동작구 상도로47가길 27
(지번) 상도1동 365-1
",0.0
"
서울 동작구 상도로 283
(지번) 상도1동 773-2
",0.0
"
서울 동작구 상도로 153 혜현빌딩 1층
(지번) 상도동 187-1
",3.9
"
서울 동작구 상도로 383 1층
(지번) 상도동 500-16
",5.0
"
서울 동작구 상도로 372-3
(지번) 상도동 494-1
",0.0
"
서울 동작구 현충로 2
(지번) 본동 46-1
",4.1
"
서울 동작구 상도로61길 21
(지번) 상도동 502-11
",5.0
"
서울 동작구 상도로 177 1층
(지번) 상도동 365-1
",5.0
"
서울 동작구 장승배기로 137-1 1층
(지번) 노량진동 231-28
",4.1
"
서울 동작구 흑석로 115 2층
(지번) 흑석동 180-4
",3.5
"
서울 동작구 흑석로 85-9
(지번) 흑석동 190-31
",3.6
"
서울 동작구 성대로29길 45 신한쉐르빌 B동 1층 B01호
(지번) 상도동 188-25
",4.8
"
서울 동작구 만양로 84
(지번) 노량진동 330
",0.0
"
서울 동작구 장승배기로 38-1 1층
(지번) 상도동 204-29
",0.0
"
서울 동작구 만양로16길 32 1층
(지번) 노량진동 119-148
",4.6
"
서울 동작구 장승배기로 149
(지번) 노량진동 232-184
",2.9
"
서울 동작구 등용로 17 1층
(지번) 상도동 363-111
",4.3
"
서울 동작구 노량진로 162 한주빌딩 1층
(지번) 노량진동 114-5
",2.1
"
서울 동작구 상도로 383 1층
(지번) 상도동 500-16
",5.0
"
서울 동작구 상도로 372-3
(지번) 상도동 494-1
",0.0
"
서울 동작구 현충로 2
(지번) 본동 46-1
",4.1
"
서울 동작구 상도로61길 21
(지번) 상도동 502-11
",5.0
"
서울 동작구 상도로 177 1층
(지번) 상도동 365-1
",5.0
"
서울 동작구 장승배기로 137-1 1층
(지번) 노량진동 231-28
",4.1
"
서울 동작구 흑석로 115 2층
(지번) 흑석동 180-4
",3.5
"
서울 동작구 흑석로 85-9
(지번) 흑석동 190-31
",3.6
"
서울 동작구 성대로29길 45 신한쉐르빌 B동 1층 B01호
(지번) 상도동 188-25
",4.8
"
서울 동작구 만양로 84
(지번) 노량진동 330
",0.0
"
서울 동작구 장승배기로 38-1 1층
(지번) 상도동 204-29
",0.0
"
서울 동작구 만양로16길 32 1층
(지번) 노량진동 119-148
",4.6
"
서울 동작구 장승배기로 149
(지번) 노량진동 232-184
",2.9
"
서울 동작구 등용로 17 1층
(지번) 상도동 363-111
",4.3
"
서울 동작구 노량진로 162 한주빌딩 1층
(지번) 노량진동 114-5
",2.1
